DriverName,Team,grid,position,points,status,year,round
Alonso,Aston Martin,9,5,10,Finished,2023,12
Russell,Mercedes,8,6,8,Finished,2023,12
Norris,McLaren,7,7,6,Finished,2023,12
Ocon,Alpine F1 Team,14,8,4,Finished,2023,12
Stroll,Aston Martin,10,9,2,Finished,2023,12
Tsunoda,AlphaTauri,11,10,1,Finished,2023,12
Gasly,Alpine F1 Team,12,11,0,Finished,2023,12
Bottas,Alfa Romeo,13,12,0,Finished,2023,12
Zhou,Alfa Romeo,17,13,0,Finished,2023,12
Albon,Williams,15,14,0,Finished,2023,12
Magnussen,Haas F1 Team,16,15,0,Finished,2023,12
Ricciardo,AlphaTauri,19,16,0,Finished,2023,12
Sargeant,Williams,18,17,0,Finished,2023,12
Hülkenberg,Haas F1 Team,20,18,0,Finished,2023,12
Sainz,Ferrari,4,19,0,Retired,2023,12
Piastri,McLaren,5,20,0,Retired,2023,12
Verstappen,Red Bull,1,1,25,Finished,2023,13
Alonso,Aston Martin,5,2,19,Finished,2023,13
Gasly,Alpine F1 Team,12,3,15,Finished,2023,13
Pérez,Red Bull,7,4,12,Finished,2023,13
Sainz,Ferrari,6,5,10,Finished,2023,13
Hamilton,Mercedes,13,6,8,Finished,2023,13
Norris,McLaren,2,7,6,Finished,2023,13
Albon,Williams,4,8,4,Finished,2023,13
Piastri,McLaren,8,9,2,Finished,2023,13
Ocon,Alpine F1 Team,16,10,1,Finished,2023,13
Stroll,Aston Martin,11,11,0,Finished,2023,13
Hülkenberg,Haas F1 Team,14,12,0,Finished,2023,13
Lawson,AlphaTauri,19,13,0,Finished,2023,13
Bottas,Alfa Romeo,18,14,0,Finished,2023,13
Tsunoda,AlphaTauri,17,15,0,Finished,2023,13
Magnussen,Haas F1 Team,0,16,0,Finished,2023,13
Russell,Mercedes,3,17,0,Finished,2023,13
Zhou,Alfa Romeo,15,18,0,Accident,2023,13
Leclerc,Ferrari,9,19,0,Undertray,2023,13
Sargeant,Williams,10,20,0,Accident,2023,13
Verstappen,Red Bull,2,1,25,Finished,2023,14
Pérez,Red Bull,5,2,18,Finished,2023,14
Sainz,Ferrari,1,3,15,Finished,2023,14
Leclerc,Ferrari,3,4,12,Finished,2023,14
Russell,Mercedes,4,5,10,Finished,2023,14
Hamilton,Mercedes,8,6,8,Finished,2023,14
Albon,Williams,6,7,6,Finished,2023,14
Norris,McLaren,9,8,4,Finished,2023,14
Alonso,Aston Martin,10,9,2,Finished,2023,14
Bottas,Alfa Romeo,14,10,1,Finished,2023,14
Lawson,AlphaTauri,12,11,0,Finished,2023,14
Piastri,McLaren,7,12,0,Finished,2023,14
Sargeant,Williams,15,13,0,Finished,2023,14
Zhou,Alfa Romeo,16,14,0,Finished,2023,14
Gasly,Alpine F1 Team,17,15,0,Finished,2023,14
Stroll,Aston Martin,20,16,0,Finished,2023,14
Hülkenberg,Haas F1 Team,13,17,0,Lapped,2023,14
Magnussen,Haas F1 Team,19,18,0,Lapped,2023,14
Ocon,Alpine F1 Team,18,19,0,Retired,2023,14
Tsunoda,AlphaTauri,11,20,0,Did not start,2023,14
Sainz,Ferrari,1,1,25,Finished,2023,15
Norris,McLaren,4,2,18,Finished,2023,15
Hamilton,Mercedes,5,3,16,Finished,2023,15
Leclerc,Ferrari,3,4,12,Finished,2023,15
Verstappen,Red Bull,11,5,10,Finished,2023,15
Gasly,Alpine F1 Team,12,6,8,Finished,2023,15
Piastri,McLaren,17,7,6,Finished,2023,15
Pérez,Red Bull,13,8,4,Finished,2023,15
Lawson,AlphaTauri,10,9,2,Finished,2023,15
Magnussen,Haas F1 Team,6,10,1,Finished,2023,15
Albon,Williams,14,11,0,Finished,2023,15
Zhou,Alfa Romeo,19,12,0,Finished,2023,15
Hülkenberg,Haas F1 Team,9,13,0,Finished,2023,15
Sargeant,Williams,18,14,0,Finished,2023,15
Alonso,Aston Martin,7,15,0,Finished,2023,15
Russell,Mercedes,2,16,0,Retired,2023,15
Bottas,Alfa Romeo,16,17,0,Retired,2023,15
Ocon,Alpine F1 Team,8,18,0,Retired,2023,15
Tsunoda,AlphaTauri,15,19,0,Retired,2023,15
Stroll,Aston Martin,0,20,0,Withdrew,2023,15
Verstappen,Red Bull,1,1,26,Finished,2023,16
Norris,McLaren,3,2,18,Finished,2023,16
Piastri,McLaren,2,3,15,Finished,2023,16
Leclerc,Ferrari,4,4,12,Finished,2023,16
Hamilton,Mercedes,7,5,10,Finished,2023,16
Sainz,Ferrari,6,6,8,Finished,2023,16
Russell,Mercedes,8,7,6,Finished,2023,16
Alonso,Aston Martin,10,8,4,Finished,2023,16
Ocon,Alpine F1 Team,14,9,2,Finished,2023,16
Gasly,Alpine F1 Team,12,10,1,Finished,2023,16
Lawson,AlphaTauri,11,11,0,Lapped,2023,16
Tsunoda,AlphaTauri,9,12,0,Lapped,2023,16
Zhou,Alfa Romeo,19,13,0,Lapped,2023,16
Hülkenberg,Haas F1 Team,18,14,0,Lapped,2023,16
Magnussen,Haas F1 Team,15,15,0,Lapped,2023,16
Albon,Williams,13,16,0,Retired,2023,16
Sargeant,Williams,20,17,0,Retired,2023,16
Stroll,Aston Martin,17,18,0,Retired,2023,16
Pérez,Red Bull,5,19,0,Retired,2023,16
Bottas,Alfa Romeo,16,20,0,Retired,2023,16
Verstappen,Red Bull,1,1,26,Finished,2023,17
Piastri,McLaren,6,2,18,Finished,2023,17
Norris,McLaren,10,3,15,Finished,2023,17
Russell,Mercedes,2,4,12,Finished,2023,17
Leclerc,Ferrari,5,5,10,Finished,2023,17
Alonso,Aston Martin,4,6,8,Finished,2023,17
Ocon,Alpine F1 Team,8,7,6,Finished,2023,17
Bottas,Alfa Romeo,9,8,4,Finished,2023,17
Zhou,Alfa Romeo,19,9,2,Finished,2023,17
Pérez,Red Bull,20,10,1,Finished,2023,17
Stroll,Aston Martin,16,11,0,Finished,2023,17
Gasly,Alpine F1 Team,7,12,0,Finished,2023,17
Albon,Williams,13,13,0,Finished,2023,17
Magnussen,Haas F1 Team,18,14,0,Lapped,2023,17
Tsunoda,AlphaTauri,11,15,0,Lapped,2023,17
Hülkenberg,Haas F1 Team,14,16,0,Lapped,2023,17
Lawson,AlphaTauri,17,17,0,Lapped,2023,17
Sargeant,Williams,15,18,0,Retired,2023,17
Hamilton,Mercedes,3,19,0,Retired,2023,17
Sainz,Ferrari,12,20,0,Did not start,2023,17
Verstappen,Red Bull,6,1,25,Finished,2023,18
Norris,McLaren,2,2,18,Finished,2023,18
Sainz,Ferrari,4,3,15,Finished,2023,18
Pérez,Red Bull,9,4,12,Finished,2023,18
Russell,Mercedes,5,5,10,Finished,2023,18
Gasly,Alpine F1 Team,7,6,8,Finished,2023,18
Stroll,Aston Martin,20,7,6,Finished,2023,18
Tsunoda,AlphaTauri,11,8,5,Finished,2023,18
Albon,Williams,15,9,2,Finished,2023,18
Sargeant,Williams,16,10,1,Finished,2023,18
Hülkenberg,Haas F1 Team,18,11,0,Finished,2023,18
Bottas,Alfa Romeo,13,12,0,Finished,2023,18
Zhou,Alfa Romeo,12,13,0,Lapped,2023,18
Magnussen,Haas F1 Team,17,14,0,Lapped,2023,18
Ricciardo,AlphaTauri,14,15,0,Lapped,2023,18
Alonso,Aston Martin,19,16,0,Retired,2023,18
Piastri,McLaren,10,17,0,Retired,2023,18
Ocon,Alpine F1 Team,8,18,0,Retired,2023,18
Hamilton,Mercedes,3,19,0,Disqualified,2023,18
Leclerc,Ferrari,1,20,0,Disqualified,2023,18
Verstappen,Red Bull,3,1,25,Finished,2023,19
Hamilton,Mercedes,6,2,19,Finished,2023,19
Leclerc,Ferrari,1,3,15,Finished,2023,19
Sainz,Ferrari,2,4,12,Finished,2023,19
Norris,McLaren,17,5,10,Finished,2023,19
Russell,Mercedes,8,6,8,Finished,2023,19
Ricciardo,AlphaTauri,4,7,6,Finished,2023,19
Piastri,McLaren,7,8,4,Finished,2023,19
Albon,Williams,14,9,2,Finished,2023,19
Ocon,Alpine F1 Team,15,10,1,Finished,2023,19
Gasly,Alpine F1 Team,11,11,0,Finished,2023,19
Tsunoda,AlphaTauri,18,12,0,Finished,2023,19
Hülkenberg,Haas F1 Team,12,13,0,Finished,2023,19
Zhou,Alfa Romeo,10,14,0,Finished,2023,19
Bottas,Alfa Romeo,9,15,0,Finished,2023,19
Sargeant,Williams,19,16,0,Retired,2023,19
Stroll,Aston Martin,0,17,0,Collision damage,2023,19
Alonso,Aston Martin,13,18,0,Withdrew,2023,19
Magnussen,Haas F1 Team,16,19,0,Accident,2023,19
Pérez,Red Bull,5,20,0,Collision damage,2023,19
Verstappen,Red Bull,1,1,25,Finished,2023,20
Norris,McLaren,6,2,19,Finished,2023,20
Alonso,Aston Martin,4,3,15,Finished,2023,20
Pérez,Red Bull,9,4,12,Finished,2023,20
Stroll,Aston Martin,3,5,10,Finished,2023,20
Sainz,Ferrari,7,6,8,Finished,2023,20
Gasly,Alpine F1 Team,15,7,6,Finished,2023,20
Hamilton,Mercedes,5,8,4,Finished,2023,20
Tsunoda,AlphaTauri,16,9,2,Finished,2023,20
Ocon,Alpine F1 Team,14,10,1,Lapped,2023,20
Sargeant,Williams,19,11,0,Lapped,2023,20
Hülkenberg,Haas F1 Team,11,12,0,Lapped,2023,20
Ricciardo,AlphaTauri,17,13,0,Lapped,2023,20
Piastri,McLaren,10,14,0,Lapped,2023,20
Russell,Mercedes,8,15,0,Retired,2023,20
Bottas,Alfa Romeo,18,16,0,Retired,2023,20
Zhou,Alfa Romeo,20,17,0,Retired,2023,20
Magnussen,Haas F1 Team,12,18,0,Retired,2023,20
Albon,Williams,13,19,0,Retired,2023,20
Leclerc,Ferrari,2,20,0,Did not start,2023,20
Verstappen,Red Bull,2,1,25,Finished,2023,21
Leclerc,Ferrari,1,2,18,Finished,2023,21
Pérez,Red Bull,11,3,15,Finished,2023,21
Ocon,Alpine F1 Team,16,4,12,Finished,2023,21
Stroll,Aston Martin,19,5,10,Finished,2023,21
Sainz,Ferrari,12,6,8,Finished,2023,21
Hamilton,Mercedes,10,7,6,Finished,2023,21
Russell,Mercedes,3,8,4,Finished,2023,21
Alonso,Aston Martin,9,9,2,Finished,2023,21
Piastri,McLaren,18,10,2,Finished,2023,21
Gasly,Alpine F1 Team,4,11,0,Finished,2023,21
Albon,Williams,5,12,0,Finished,2023,21
Magnussen,Haas F1 Team,8,13,0,Finished,2023,21
Ricciardo,AlphaTauri,14,14,0,Finished,2023,21
Zhou,Alfa Romeo,17,15,0,Finished,2023,21
Sargeant,Williams,6,16,0,Finished,2023,21
Bottas,Alfa Romeo,7,17,0,Finished,2023,21
Tsunoda,AlphaTauri,20,18,0,Retired,2023,21
Hülkenberg,Haas F1 Team,13,19,0,Retired,2023,21
Norris,McLaren,15,20,0,Retired,2023,21
Verstappen,Red Bull,1,1,26,Finished,2023,22
Leclerc,Ferrari,2,2,18,Finished,2023,22
Russell,Mercedes,4,3,15,Finished,2023,22
Pérez,Red Bull,9,4,12,Finished,2023,22
Norris,McLaren,5,5,10,Finished,2023,22
Piastri,McLaren,3,6,8,Finished,2023,22
Alonso,Aston Martin,7,7,6,Finished,2023,22
Tsunoda,AlphaTauri,6,8,4,Finished,2023,22
Hamilton,Mercedes,11,9,2,Finished,2023,22
Stroll,Aston Martin,13,10,1,Finished,2023,22
Ricciardo,AlphaTauri,15,11,0,Finished,2023,22
Ocon,Alpine F1 Team,12,12,0,Finished,2023,22
Gasly,Alpine F1 Team,10,13,0,Finished,2023,22
Albon,Williams,14,14,0,Finished,2023,22
Hülkenberg,Haas F1 Team,8,15,0,Finished,2023,22
Sargeant,Williams,20,16,0,Finished,2023,22
Zhou,Alfa Romeo,19,17,0,Finished,2023,22
Sainz,Ferrari,16,18,0,Retired,2023,22
Bottas,Alfa Romeo,18,19,0,Lapped,2023,22
Magnussen,Haas F1 Team,17,20,0,Lapped,2023,22
Verstappen,Red Bull,1,1,26,Finished,2024,1
Pérez,Red Bull,5,2,18,Finished,2024,1
Sainz,Ferrari,4,3,15,Finished,2024,1
Leclerc,Ferrari,2,4,12,Finished,2024,1
Russell,Mercedes,3,5,10,Finished,2024,1
Norris,McLaren,7,6,8,Finished,2024,1
Hamilton,Mercedes,9,7,6,Finished,2024,1
Piastri,McLaren,8,8,4,Finished,2024,1
Alonso,Aston Martin,6,9,2,Finished,2024,1
Stroll,Aston Martin,12,10,1,Finished,2024,1
Zhou,Sauber,17,11,0,Lapped,2024,1
Magnussen,Haas F1 Team,15,12,0,Lapped,2024,1
Ricciardo,RB F1 Team,14,13,0,Lapped,2024,1
Tsunoda,RB F1 Team,11,14,0,Lapped,2024,1
Albon,Williams,13,15,0,Lapped,2024,1
Hülkenberg,Haas F1 Team,10,16,0,Lapped,2024,1
Ocon,Alpine F1 Team,19,17,0,Lapped,2024,1
Gasly,Alpine F1 Team,20,18,0,Lapped,2024,1
Bottas,Sauber,16,19,0,Lapped,2024,1
Sargeant,Williams,18,20,0,Lapped,2024,1
Verstappen,Red Bull,1,1,25,Finished,2024,2
Pérez,Red Bull,3,2,18,Finished,2024,2
Leclerc,Ferrari,2,3,16,Finished,2024,2
Piastri,McLaren,5,4,12,Finished,2024,2
Alonso,Aston Martin,4,5,10,Finished,2024,2
Russell,Mercedes,7,6,8,Finished,2024,2
Bearman,Ferrari,11,7,6,Finished,2024,2
Norris,McLaren,6,8,4,Finished,2024,2
Hamilton,Mercedes,8,9,2,Finished,2024,2
Hülkenberg,Haas F1 Team,15,10,1,Finished,2024,2
Albon,Williams,12,11,0,Finished,2024,2
Magnussen,Haas F1 Team,13,12,0,Finished,2024,2
Ocon,Alpine F1 Team,17,13,0,Lapped,2024,2
Sargeant,Williams,19,14,0,Lapped,2024,2
Tsunoda,RB F1 Team,9,15,0,Lapped,2024,2
Ricciardo,RB F1 Team,14,16,0,Lapped,2024,2
Bottas,Sauber,16,17,0,Lapped,2024,2
Zhou,Sauber,20,18,0,Lapped,2024,2
Stroll,Aston Martin,10,19,0,Retired,2024,2
Gasly,Alpine F1 Team,18,20,0,Retired,2024,2
Sainz,Ferrari,2,1,25,Finished,2024,3
Leclerc,Ferrari,4,2,19,Finished,2024,3
Norris,McLaren,3,3,15,Finished,2024,3
Piastri,McLaren,5,4,12,Finished,2024,3
Pérez,Red Bull,6,5,10,Finished,2024,3
Stroll,Aston Martin,9,6,8,Finished,2024,3
Tsunoda,RB F1 Team,8,7,6,Finished,2024,3
Alonso,Aston Martin,10,8,4,Finished,2024,3
Hülkenberg,Haas F1 Team,16,9,2,Finished,2024,3
Magnussen,Haas F1 Team,14,10,1,Lapped,2024,3
Albon,Williams,12,11,0,Lapped,2024,3
Ricciardo,RB F1 Team,18,12,0,Lapped,2024,3
Gasly,Alpine F1 Team,17,13,0,Lapped,2024,3
Bottas,Sauber,13,14,0,Lapped,2024,3
Zhou,Sauber,19,15,0,Lapped,2024,3
Ocon,Alpine F1 Team,15,16,0,Lapped,2024,3
Russell,Mercedes,7,17,0,Retired,2024,3
Hamilton,Mercedes,11,18,0,Retired,2024,3
Verstappen,Red Bull,1,19,0,Retired,2024,3
Verstappen,Red Bull,1,1,26,Finished,2024,4
Pérez,Red Bull,2,2,18,Finished,2024,4
Sainz,Ferrari,4,3,15,Finished,2024,4
Leclerc,Ferrari,8,4,12,Finished,2024,4
Norris,McLaren,3,5,10,Finished,2024,4
Alonso,Aston Martin,5,6,8,Finished,2024,4
Russell,Mercedes,9,7,6,Finished,2024,4
Piastri,McLaren,6,8,4,Finished,2024,4
Hamilton,Mercedes,7,9,2,Finished,2024,4
Tsunoda,RB F1 Team,10,10,1,Lapped,2024,4
Hülkenberg,Haas F1 Team,12,11,0,Lapped,2024,4
Stroll,Aston Martin,16,12,0,Lapped,2024,4
Magnussen,Haas F1 Team,18,13,0,Lapped,2024,4
Bottas,Sauber,13,14,0,Lapped,2024,4
Ocon,Alpine F1 Team,15,15,0,Lapped,2024,4
Gasly,Alpine F1 Team,17,16,0,Lapped,2024,4
Sargeant,Williams,19,17,0,Lapped,2024,4
Zhou,Sauber,20,18,0,Retired,2024,4
Ricciardo,RB F1 Team,11,19,0,Retired,2024,4
Albon,Williams,14,20,0,Retired,2024,4
Verstappen,Red Bull,1,1,25,Finished,2024,5
Norris,McLaren,4,2,18,Finished,2024,5
Pérez,Red Bull,2,3,15,Finished,2024,5
Leclerc,Ferrari,6,4,12,Finished,2024,5
Sainz,Ferrari,7,5,10,Finished,2024,5
Russell,Mercedes,8,6,8,Finished,2024,5
Alonso,Aston Martin,3,7,7,Finished,2024,5
Piastri,McLaren,5,8,4,Finished,2024,5
Hamilton,Mercedes,18,9,2,Finished,2024,5
Hülkenberg,Haas F1 Team,9,10,1,Finished,2024,5
Ocon,Alpine F1 Team,13,11,0,Finished,2024,5
Albon,Williams,14,12,0,Finished,2024,5
Gasly,Alpine F1 Team,15,13,0,Finished,2024,5
Zhou,Sauber,16,14,0,Finished,2024,5
Stroll,Aston Martin,11,15,0,Finished,2024,5
Magnussen,Haas F1 Team,17,16,0,Finished,2024,5
Sargeant,Williams,20,17,0,Finished,2024,5
Ricciardo,RB F1 Team,12,18,0,Retired,2024,5
Tsunoda,RB F1 Team,19,19,0,Retired,2024,5
Bottas,Sauber,10,20,0,Retired,2024,5
Norris,McLaren,5,1,25,Finished,2024,6
Verstappen,Red Bull,1,2,18,Finished,2024,6
Leclerc,Ferrari,2,3,15,Finished,2024,6
Pérez,Red Bull,4,4,12,Finished,2024,6
Sainz,Ferrari,3,5,10,Finished,2024,6
Hamilton,Mercedes,8,6,8,Finished,2024,6
Tsunoda,RB F1 Team,10,7,6,Finished,2024,6
Russell,Mercedes,7,8,4,Finished,2024,6
Alonso,Aston Martin,15,9,2,Finished,2024,6
Ocon,Alpine F1 Team,13,10,1,Finished,2024,6
Hülkenberg,Haas F1 Team,9,11,0,Finished,2024,6
Gasly,Alpine F1 Team,12,12,0,Finished,2024,6
Piastri,McLaren,6,13,0,Finished,2024,6
Zhou,Sauber,19,14,0,Finished,2024,6
Ricciardo,RB F1 Team,20,15,0,Finished,2024,6
Bottas,Sauber,16,16,0,Finished,2024,6
Stroll,Aston Martin,11,17,0,Finished,2024,6
Albon,Williams,14,18,0,Finished,2024,6
Magnussen,Haas F1 Team,18,19,0,Finished,2024,6
Sargeant,Williams,17,20,0,Retired,2024,6
Verstappen,Red Bull,1,1,25,Finished,2024,7
Norris,McLaren,2,2,18,Finished,2024,7
Leclerc,Ferrari,3,3,15,Finished,2024,7
Piastri,McLaren,5,4,12,Finished,2024,7
Sainz,Ferrari,4,5,10,Finished,2024,7
Hamilton,Mercedes,8,6,8,Finished,2024,7
Russell,Mercedes,6,7,7,Finished,2024,7
Pérez,Red Bull,11,8,4,Finished,2024,7
Stroll,Aston Martin,13,9,2,Finished,2024,7
Tsunoda,RB F1 Team,7,10,1,Lapped,2024,7
Hülkenberg,Haas F1 Team,10,11,0,Lapped,2024,7
Magnussen,Haas F1 Team,18,12,0,Lapped,2024,7
Ricciardo,RB F1 Team,9,13,0,Lapped,2024,7
Ocon,Alpine F1 Team,12,14,0,Lapped,2024,7
Zhou,Sauber,17,15,0,Lapped,2024,7
Gasly,Alpine F1 Team,15,16,0,Lapped,2024,7
Sargeant,Williams,19,17,0,Lapped,2024,7
Bottas,Sauber,16,18,0,Lapped,2024,7
Alonso,Aston Martin,20,19,0,Lapped,2024,7
Albon,Williams,14,20,0,Retired,2024,7
Leclerc,Ferrari,1,1,25,Finished,2024,8
Piastri,McLaren,2,2,18,Finished,2024,8
Sainz,Ferrari,3,3,15,Finished,2024,8
Norris,McLaren,4,4,12,Finished,2024,8
Russell,Mercedes,5,5,10,Finished,2024,8
Verstappen,Red Bull,6,6,8,Finished,2024,8
Hamilton,Mercedes,7,7,7,Finished,2024,8
Tsunoda,RB F1 Team,8,8,4,Lapped,2024,8
Albon,Williams,9,9,2,Lapped,2024,8
Gasly,Alpine F1 Team,10,10,1,Lapped,2024,8
Alonso,Aston Martin,14,11,0,Lapped,2024,8
Ricciardo,RB F1 Team,12,12,0,Lapped,2024,8
Bottas,Sauber,17,13,0,Lapped,2024,8
Stroll,Aston Martin,13,14,0,Lapped,2024,8
Sargeant,Williams,15,15,0,Lapped,2024,8
Zhou,Sauber,18,16,0,Lapped,2024,8
Ocon,Alpine F1 Team,11,17,0,Retired,2024,8
Pérez,Red Bull,16,18,0,Retired,2024,8
Hülkenberg,Haas F1 Team,19,19,0,Retired,2024,8
Magnussen,Haas F1 Team,20,20,0,Retired,2024,8
Verstappen,Red Bull,2,1,25,Finished,2024,9
Norris,McLaren,3,2,18,Finished,2024,9
Russell,Mercedes,1,3,15,Finished,2024,9
Hamilton,Mercedes,7,4,13,Finished,2024,9
Piastri,McLaren,4,5,10,Finished,2024,9
Alonso,Aston Martin,6,6,8,Finished,2024,9
Stroll,Aston Martin,9,7,6,Finished,2024,9
Ricciardo,RB F1 Team,5,8,4,Finished,2024,9
Gasly,Alpine F1 Team,15,9,2,Finished,2024,9
Ocon,Alpine F1 Team,18,10,1,Finished,2024,9
Hülkenberg,Haas F1 Team,17,11,0,Finished,2024,9
Magnussen,Haas F1 Team,14,12,0,Finished,2024,9
Bottas,Sauber,19,13,0,Finished,2024,9
Tsunoda,RB F1 Team,8,14,0,Finished,2024,9
Zhou,Sauber,20,15,0,Lapped,2024,9
Sainz,Ferrari,12,16,0,Retired,2024,9
Albon,Williams,10,17,0,Retired,2024,9
Pérez,Red Bull,16,18,0,Retired,2024,9
Leclerc,Ferrari,11,19,0,Retired,2024,9
Sargeant,Williams,13,20,0,Retired,2024,9
Verstappen,Red Bull,2,1,25,Finished,2024,10
Norris,McLaren,1,2,19,Finished,2024,10
Hamilton,Mercedes,3,3,15,Finished,2024,10
Russell,Mercedes,4,4,12,Finished,2024,10
Leclerc,Ferrari,5,5,10,Finished,2024,10
Sainz,Ferrari,6,6,8,Finished,2024,10
Piastri,McLaren,9,7,6,Finished,2024,10
Pérez,Red Bull,11,8,4,Finished,2024,10
Gasly,Alpine F1 Team,7,9,2,Finished,2024,10
Ocon,Alpine F1 Team,8,10,1,Finished,2024,10
Hülkenberg,Haas F1 Team,13,11,0,Finished,2024,10
Alonso,Aston Martin,10,12,0,Lapped,2024,10
Zhou,Sauber,15,13,0,Lapped,2024,10
Stroll,Aston Martin,14,14,0,Lapped,2024,10
Ricciardo,RB F1 Team,18,15,0,Lapped,2024,10
Bottas,Sauber,12,16,0,Lapped,2024,10
Magnussen,Haas F1 Team,16,17,0,Lapped,2024,10
Albon,Williams,20,18,0,Lapped,2024,10
Tsunoda,RB F1 Team,17,19,0,Lapped,2024,10
Sargeant,Williams,19,20,0,Lapped,2024,10
Russell,Mercedes,3,1,25,Finished,2024,11
Piastri,McLaren,7,2,18,Finished,2024,11
Sainz,Ferrari,4,3,15,Finished,2024,11
Hamilton,Mercedes,5,4,12,Finished,2024,11
Verstappen,Red Bull,1,5,10,Finished,2024,11
Hülkenberg,Haas F1 Team,9,6,8,Finished,2024,11
Pérez,Red Bull,8,7,6,Finished,2024,11
Magnussen,Haas F1 Team,12,8,4,Finished,2024,11
Ricciardo,RB F1 Team,11,9,2,Finished,2024,11
Gasly,Alpine F1 Team,13,10,1,Finished,2024,11
Leclerc,Ferrari,6,11,0,Finished,2024,11
Ocon,Alpine F1 Team,10,12,0,Finished,2024,11
Stroll,Aston Martin,17,13,0,Lapped,2024,11
Tsunoda,RB F1 Team,14,14,0,Lapped,2024,11
Albon,Williams,16,15,0,Lapped,2024,11
Bottas,Sauber,18,16,0,Lapped,2024,11
Zhou,Sauber,20,17,0,Lapped,2024,11
Alonso,Aston Martin,15,18,0,Lapped,2024,11
Sargeant,Williams,19,19,0,Lapped,2024,11
Norris,McLaren,2,20,0,Lapped,2024,11
Hamilton,Mercedes,2,1,25,Finished,2024,12
Verstappen,Red Bull,4,2,18,Finished,2024,12
Norris,McLaren,3,3,15,Finished,2024,12
Piastri,McLaren,5,4,12,Finished,2024,12
Sainz,Ferrari,7,5,11,Finished,2024,12
Hülkenberg,Haas F1 Team,6,6,8,Finished,2024,12
Stroll,Aston Martin,8,7,6,Finished,2024,12
Alonso,Aston Martin,10,8,4,Finished,2024,12
Albon,Williams,9,9,2,Finished,2024,12
Tsunoda,RB F1 Team,13,10,1,Finished,2024,12
Sargeant,Williams,12,11,0,Finished,2024,12
Magnussen,Haas F1 Team,17,12,0,Finished,2024,12
Ricciardo,RB F1 Team,15,13,0,Lapped,2024,12
Leclerc,Ferrari,11,14,0,Lapped,2024,12
Bottas,Sauber,16,15,0,Lapped,2024,12
Ocon,Alpine F1 Team,18,16,0,Lapped,2024,12
Pérez,Red Bull,20,17,0,Lapped,2024,12
Zhou,Sauber,14,18,0,Lapped,2024,12
Russell,Mercedes,1,19,0,Retired,2024,12
Gasly,Alpine F1 Team,19,20,0,Did not start,2024,12
Piastri,McLaren,2,1,25,Finished,2024,13
Norris,McLaren,1,2,18,Finished,2024,13
Hamilton,Mercedes,5,3,15,Finished,2024,13
Leclerc,Ferrari,6,4,12,Finished,2024,13
Verstappen,Red Bull,3,5,10,Finished,2024,13
Sainz,Ferrari,4,6,8,Finished,2024,13
Pérez,Red Bull,16,7,6,Finished,2024,13
Russell,Mercedes,17,8,5,Finished,2024,13
Tsunoda,RB F1 Team,10,9,2,Finished,2024,13
Stroll,Aston Martin,8,10,1,Finished,2024,13
Alonso,Aston Martin,7,11,0,Finished,2024,13
Ricciardo,RB F1 Team,9,12,0,Lapped,2024,13
Hülkenberg,Haas F1 Team,11,13,0,Lapped,2024,13
Albon,Williams,13,14,0,Lapped,2024,13
Magnussen,Haas F1 Team,15,15,0,Lapped,2024,13
Bottas,Sauber,12,16,0,Lapped,2024,13
Sargeant,Williams,14,17,0,Lapped,2024,13
Ocon,Alpine F1 Team,19,18,0,Lapped,2024,13
Zhou,Sauber,18,19,0,Lapped,2024,13
Gasly,Alpine F1 Team,20,20,0,Retired,2024,13
Hamilton,Mercedes,3,1,25,Finished,2024,14
Piastri,McLaren,5,2,18,Finished,2024,14
Leclerc,Ferrari,1,3,15,Finished,2024,14
Verstappen,Red Bull,11,4,12,Finished,2024,14
Norris,McLaren,4,5,10,Finished,2024,14
Sainz,Ferrari,7,6,8,Finished,2024,14
Pérez,Red Bull,2,7,7,Finished,2024,14
Alonso,Aston Martin,8,8,4,Finished,2024,14
Ocon,Alpine F1 Team,9,9,2,Finished,2024,14
Ricciardo,RB F1 Team,13,10,1,Finished,2024,14
Stroll,Aston Martin,15,11,0,Finished,2024,14
Albon,Williams,10,12,0,Finished,2024,14
Gasly,Alpine F1 Team,12,13,0,Finished,2024,14
Magnussen,Haas F1 Team,17,14,0,Finished,2024,14
Bottas,Sauber,14,15,0,Finished,2024,14
Tsunoda,RB F1 Team,20,16,0,Finished,2024,14
Sargeant,Williams,18,17,0,Finished,2024,14
Hülkenberg,Haas F1 Team,16,18,0,Finished,2024,14
Zhou,Sauber,19,19,0,Retired,2024,14
Russell,Mercedes,6,20,0,Disqualified,2024,14
Norris,McLaren,1,1,26,Finished,2024,15
Verstappen,Red Bull,2,2,18,Finished,2024,15
Leclerc,Ferrari,6,3,15,Finished,2024,15
Piastri,McLaren,3,4,12,Finished,2024,15
Sainz,Ferrari,10,5,10,Finished,2024,15
Pérez,Red Bull,5,6,8,Finished,2024,15
Russell,Mercedes,4,7,6,Finished,2024,15
Hamilton,Mercedes,14,8,4,Finished,2024,15
Gasly,Alpine F1 Team,9,9,2,Lapped,2024,15
Alonso,Aston Martin,7,10,1,Lapped,2024,15
Hülkenberg,Haas F1 Team,12,11,0,Lapped,2024,15
Ricciardo,RB F1 Team,13,12,0,Lapped,2024,15
Stroll,Aston Martin,8,13,0,Lapped,2024,15
Albon,Williams,19,14,0,Lapped,2024,15
